Team,Opponent,Team_Score,Opp_Score,Spread,Spread_Covered,Final_Score,Date
Tarleton Stte,Indiana Stte,71,87,8.5,N,71-87,2024-12-01
Portland,Denver,101,90,-7.0,Y,101-90,2024-12-01
Arkansas Stte,Hofstra,66,68,-6.0,Y,66-68,2024-12-01
Central Florida,Cal Baptist,74,59,-10.0,Y,74-59,2024-12-01
Rice,Iona,70,66,-4.5,Y,70-66,2024-12-01
UAB,Middle Tennessee,69,76,-8.0,Y,69-76,2024-12-01
Oral Roberts,Missouri Stte,67,72,2.0,N,67-72,2024-12-01
Pennsylvania,Elon,53,68,2.5,N,53-68,2024-12-01
Penn Stte,Buffalo,87,64,-28.5,Y,87-64,2024-12-01
Colorado,Pacific,75,66,-15.0,Y,75-66,2024-12-02
Louisiana-Monroe,Texas-Arlington,70,84,7.0,N,70-84,2024-12-02
Miami-Ohio,Air Force,73,60,-6.5,Y,73-60,2024-12-02
Old Dominion,William & Mary,88,83,7.5,Y,88-83,2024-12-02
Rhode Island,Yale,84,78,-2.5,Y,84-78,2024-12-02
Nevada,Washington Stte,57,68,-11.0,N,57-68,2024-12-02
Grand Canyon,Hawaii,78,72,-14.0,Y,78-72,2024-12-03
Boston Col,S Carolina,51,73,4.5,N,51-73,2024-12-03
Butler,Eastern Illinois,73,58,-21.0,Y,73-58,2024-12-03
Saint Josephs,Princeton,69,77,-6.0,N,69-77,2024-12-03
Georgia,Notre Dame,69,48,-9.0,Y,69-48,2024-12-03
Tennessee,Syracuse,96,70,-22.5,Y,96-70,2024-12-03
Louisville,Ole Miss,63,86,-3.5,N,63-86,2024-12-03
Iowa,Northwestern,80,79,-5.0,Y,80-79,2024-12-03
Loyola-Chicago,Eastern Michigan,76,54,-18.0,Y,76-54,2024-12-03
Northeastern,La Salle,82,68,-1.0,Y,82-68,2024-12-03
LSU,Florida Stte,85,75,-4.5,Y,85-75,2024-12-03
Miami,Arkansas,73,76,4.0,Y,73-76,2024-12-03
Missouri,California,98,93,-10.5,Y,98-93,2024-12-03
Dayton,Western Michigan,77,69,-24.0,Y,77-69,2024-12-03
East Carolina,UNC Wilmington,53,67,-6.5,N,53-67,2024-12-03
Southern Illinois,Bradley,60,83,4.0,N,60-83,2024-12-03
Oklahoma,Georgia Tech,76,61,-12.0,Y,76-61,2024-12-03
Hampton,N Carolina A&T,82,71,-4.5,Y,82-71,2024-12-03
UCLA,Washington,69,58,-12.0,Y,69-58,2024-12-03
Akron,Northern Kentucky,86,73,-6.5,Y,86-73,2024-12-03
Duquesne,Saint Peters,59,62,-5.0,Y,59-62,2024-12-03
Texas A&M,Wake Forest,57,44,-9.0,Y,57-44,2024-12-03
Wisconsin,Michigan,64,67,-3.0,N,64-67,2024-12-03
Arizona Stte,San Diego,90,53,-20.5,Y,90-53,2024-12-03
Clemson,Kentucky,70,66,1.5,Y,70-66,2024-12-03
Villanova,Cincinnati,68,60,3.5,Y,68-60,2024-12-03
Providence,BYU,83,64,4.5,Y,83-64,2024-12-03
St Marys,UTSA,82,74,-23.0,Y,82-74,2024-12-03
Stnford,Utah Valley,77,63,-11.5,Y,77-63,2024-12-03
Murray Stte,Evansville,63,61,-13.5,Y,63-61,2024-12-03
Indiana,Sam Houston Stte,97,71,-13.5,Y,97-71,2024-12-03
James Madison,East Tennessee Stte,71,61,-4.0,Y,71-61,2024-12-03
Boise Stte,Dixie Stte,87,64,-23.5,Y,87-64,2024-12-03
USC,Oregon,60,68,6.0,N,60-68,2024-12-04
Seton Hall,NJIT,67,56,-18.0,Y,67-56,2024-12-04
Lehigh,Monmouth,90,63,-1.0,Y,90-63,2024-12-04
Colorado Stte,Loyola Marymount,83,54,-8.5,Y,83-54,2024-12-04
New Mexico Stte,Abilene Christian,70,78,-2.5,N,70-78,2024-12-04
Eastern Washington,North Dakota,87,81,-7.0,Y,87-81,2024-12-04
Weber Stte,North Dakota Stte,73,77,-4.5,Y,73-77,2024-12-04
Utah Stte,Wyoming,70,67,-18.5,Y,70-67,2024-12-04
Texas Tech,DePaul,76,62,-14.0,Y,76-62,2024-12-04
New Mexico,San Jose Stte,83,77,-19.5,Y,83-77,2024-12-04
Duke,Auburn,84,78,-3.5,Y,84-78,2024-12-04
Wagner,Coppin Stte,65,52,-11.5,Y,65-52,2024-12-04
Northern Colorado,St Thomas (MN),75,87,-4.5,N,75-87,2024-12-04
Arkansas-Little Rock,Central Arkansas,63,57,-9.5,Y,63-57,2024-12-04
Denver,Sacramento Stte,80,59,-3.5,Y,80-59,2024-12-04
NC Stte,Texas,59,63,2.5,N,59-63,2024-12-04
Florida,Virginia,87,69,-17.5,Y,87-69,2024-12-04
Campbell,Coastal Carolina,57,58,-5.0,Y,57-58,2024-12-04
Montana,South Dakota Stte,71,67,1.0,Y,71-67,2024-12-04
Maryland,Ohio Stte,83,59,-5.5,Y,83-59,2024-12-04
Wichita Stte,Alcorn Stte,78,54,-24.0,Y,78-54,2024-12-04
Creighton,Kansas,76,63,3.5,Y,76-63,2024-12-04
N Carolina,Alabama,79,94,-1.5,N,79-94,2024-12-04
Memphis,Louisiana Tech,81,71,-11.0,Y,81-71,2024-12-04
Fresno Stte,San Diego Stte,62,84,13.0,N,62-84,2024-12-04
Florida Gulf Coast,Furman,73,76,2.5,N,73-76,2024-12-04
Oral Roberts,Northern Arizona,83,76,-4.5,Y,83-76,2024-12-04
Fordham,Fairleigh Dickinson,84,75,-12.0,Y,84-75,2024-12-04
Iowa Stte,Marquette,81,70,-5.5,Y,81-70,2024-12-04
Tulsa,Oklahoma Stte,55,76,5.5,N,55-76,2024-12-04
VA Tech,Vanderbilt,64,80,6.0,N,64-80,2024-12-04
Fairfield,Rider,78,75,-2.0,Y,78-75,2024-12-04
North Alabama,Tennessee Tech,82,59,-7.5,Y,82-59,2024-12-04
Belmont,Illinois Stte,99,97,-5.0,Y,99-97,2024-12-04
American,George Washington,81,71,4.5,Y,81-71,2024-12-04
Connecticut,Baylor,76,72,-3.5,Y,76-72,2024-12-04
Seattle,Portland Stte,91,74,-8.0,Y,91-74,2024-12-04
Wofford,Gardner-Webb,88,64,-5.5,Y,88-64,2024-12-04
UMKC,Idaho,77,82,-4.5,N,77-82,2024-12-04
UIC,Northern Iowa,56,83,2.0,N,56-83,2024-12-04
Nebraska-Omaha,Montana Stte,65,76,4.0,N,65-76,2024-12-04
VCU,Georgia Southern,89,54,-19.5,Y,89-54,2024-12-04
Minnesota,Michigan Stte,72,90,5.0,N,72-90,2024-12-04
Holy Cross,Harvard,68,67,3.0,Y,68-67,2024-12-04
Robert Morris,Youngstown Stte,58,72,-1.5,N,58-72,2024-12-04
Bucknell,St Bonaventure,47,64,7.5,N,47-64,2024-12-04
Western Carolina,Bellarmine,86,74,-5.5,Y,86-74,2024-12-04
Colgate,Cornell,57,84,2.0,N,57-84,2024-12-04
IUPUI,Wisconsin-Green Bay,84,75,3.5,Y,84-75,2024-12-04
UMass,Central Connecticut Stte,69,73,-9.5,Y,69-73,2024-12-04
Florida International,Florida Atlantic,77,88,9.0,N,77-88,2024-12-04
Miss Statete,Pittsburgh,90,57,-5.5,Y,90-57,2024-12-04
South Dakota,Idaho Stte,94,80,-3.5,Y,94-80,2024-12-04
Mercer,West Georgia,86,72,-11.0,Y,86-72,2024-12-04
Marshall,Morehead Stte,80,77,-10.5,Y,80-77,2024-12-04
Albany,Columbia,88,73,5.0,Y,88-73,2024-12-04
UC-Santa Barbara,UC San Diego,76,84,-2.5,N,76-84,2024-12-05
Wisconsin-Milwaukee,Cleveland Stte,79,67,-7.5,Y,79-67,2024-12-05
UC Davis,Cal Poly,77,66,-2.5,Y,77-66,2024-12-05
UC Irvine,Cal Stte-Bakersfield,82,66,-15.0,Y,82-66,2024-12-05
Cal Stte-Northridge,UC Riverside,64,68,-4.0,N,64-68,2024-12-05
San Francisco,Saint Louis,78,61,-9.0,Y,78-61,2024-12-05
Penn Stte,Purdue,81,70,-2.0,Y,81-70,2024-12-05
Valparaiso,Drake,60,66,9.5,Y,60-66,2024-12-05
Cal Stte-Fullerton,Long Beach Stte,56,73,-5.0,N,56-73,2024-12-05
